,Population 2017,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
CHN,1,,China,"1,386,395",
IND,2,,India,"1,339,180",
USA,3,,United States,"325,719",
IDN,4,,Indonesia,"263,991",
BRA,5,,Brazil,"209,288",
PAK,6,,Pakistan,"197,016",
NGA,7,,Nigeria,"190,886",
BGD,8,,Bangladesh,"164,670",
RUS,9,,Russian Federation,"144,495",
MEX,10,,Mexico,"129,163",
JPN,11,,Japan,"126,786",
ETH,12,,Ethiopia,"104,957",
PHL,13,,Philippines,"104,918",
EGY,14,,"Egypt, Arab Rep.","97,553",
VNM,15,,Vietnam,"95,541",
DEU,16,,Germany,"82,695",
COD,17,,"Congo, Dem. Rep.","81,340",
IRN,18,,"Iran, Islamic Rep.","81,163",
TUR,19,,Turkey,"80,745",
THA,20,,Thailand,"69,038",
FRA,21,,France,"67,119",
GBR,22,,United Kingdom,"66,022",
ITA,23,,Italy,"60,551",
TZA,24,,Tanzania,"57,310",
ZAF,25,,South Africa,"56,717",
MMR,26,,Myanmar,"53,371",
KOR,27,,"Korea, Rep.","51,466",
KEN,28,,Kenya,"49,700",
COL,29,,Colombia,"49,066",
ESP,30,,Spain,"46,572",
UKR,31,,Ukraine,"44,831",
ARG,32,,Argentina,"44,271",
UGA,33,,Uganda,"42,863",
DZA,34,,Algeria,"41,318",
SDN,35,,Sudan,"40,533",
IRQ,36,,Iraq,"38,275",
POL,37,,Poland,"37,976",
CAN,38,,Canada,"36,708",
MAR,39,,Morocco,"35,740",
AFG,40,,Afghanistan,"35,530",
SAU,41,,Saudi Arabia,"32,938",
UZB,42,,Uzbekistan,"32,387",
PER,43,,Peru,"32,165",
VEN,44,,"Venezuela, RB","31,977",
MYS,45,,Malaysia,"31,624",
AGO,46,,Angola,"29,784",
MOZ,47,,Mozambique,"29,669",
NPL,48,,Nepal,"29,305",
GHA,49,,Ghana,"28,834",
YEM,50,,"Yemen, Rep.","28,250",
MDG,51,,Madagascar,"25,571",
PRK,52,,"Korea, Dem. People's Rep.","25,491",
AUS,53,,Australia,"24,599",
CIV,54,,Côte d'Ivoire,"24,295",
CMR,55,,Cameroon,"24,054",
NER,56,,Niger,"21,477",
LKA,57,,Sri Lanka,"21,444",
ROU,58,,Romania,"19,587",
BFA,59,,Burkina Faso,"19,193",
MWI,60,,Malawi,"18,622",
MLI,61,,Mali,"18,542",
SYR,62,,Syrian Arab Republic,"18,270",
CHL,63,,Chile,"18,055",
KAZ,64,,Kazakhstan,"18,038",
NLD,65,,Netherlands,"17,133",
ZMB,66,,Zambia,"17,094",
GTM,67,,Guatemala,"16,914",
ECU,68,,Ecuador,"16,625",
ZWE,69,,Zimbabwe,"16,530",
KHM,70,,Cambodia,"16,005",
SEN,71,,Senegal,"15,851",
TCD,72,,Chad,"14,900",
SOM,73,,Somalia,"14,743",
GIN,74,,Guinea,"12,717",
SSD,75,,South Sudan,"12,576",
RWA,76,,Rwanda,"12,208",
TUN,77,,Tunisia,"11,532",
CUB,78,,Cuba,"11,485",
BEL,79,,Belgium,"11,372",
BEN,80,,Benin,"11,176",
BOL,81,,Bolivia,"11,052",
HTI,82,,Haiti,"10,981",
