"sno","state","category","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
1,"andaman-and-nicobar-islands",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"andaman-and-nicobar-islands",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"andaman-and-nicobar-islands",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Andhra Pradesh",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.7211356466877,80.3229166666667,91.1875,89.2991967871486,87.8029739776952,88.1391650099404,64.5471698113208,92.7831715210356,86.2156398104265,80.0400641025641,68.6168674698795,69.0598086124402
5,"Andhra Pradesh",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.2819577735125,79.9117647058823,90.8626728110599,85.2249190938511,86.8543619322278,86.3685427910563,75.2371794871795,80.75737514518,80.5641570996979,77.0542452830189,83.3633276740238,78.6263586956522
6,"Andhra Pradesh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.4,48.7307692307692,59.5436241610738,52.1994047619048,53.0328358208955,55.4668989547038,44.8950819672131,53.6835443037975,57.1151079136691,55.9205607476636,59.9717868338558,58.7361563517915
7,"Arunachal Pradesh",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Arunachal Pradesh",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.4,78.9666666666667
9,"Arunachal Pradesh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Assam",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Assam",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.101351351351,107.514851485149,93.4411247803163,84.8582132564841,92.121186440678,96.9827456864216,81.7079927338783,0,82.074653394952,124.681417554168,80.6842878120411,94.1320553780618
12,"Assam",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Bihar",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Bihar",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6180904522613,103.388059701493,109.783625730994,116.362162162162,116.093525179856,98.4776119402985,165.280575539568,155.671641791045,161.663900414938,0,0,0
15,"Bihar",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Chandigarh",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.380530973451,112.378571428571,137.486666666667,132.875,123.220779220779,92.6510067114094,120.790540540541,130.358620689655,129.446153846154,124.625850340136,115.78231292517,95.5405405405405
17,"Chandigarh",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.8630952380952,88.8204225352113,96.3942652329749,94.4230769230769,88.5540983606557,77.8248772504092,84.6839464882943,88.8287197231834,104.279805352798,94.8448566610455,84.9163822525597,82.9613445378151
18,"Chandigarh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Chhattisgarh",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.734693877551,175.105960264901,165.942708333333,175.804054054054,157.712230215827,215.798611111111,234.090277777778,152.586956521739,219.674242424242,208.532846715328,180.902654867257
20,"Chhattisgarh",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.861538461538,111.669793621013,81.608,93.1229385307346,107.615254237288,111.489795918367,107.884210526316,82.8757981651376,69.5464362850972,59.4188034188034,66.4372093023256,73.9313501144165
21,"Chhattisgarh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Dadra & Nagar Haveli",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.75,108.913461538462,71.231884057971,39.3404255319149,1.72164948453608,0,0,0,88.6744186046512
23,"Dadra & Nagar Haveli",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.3333333333333,77.7692307692308,0,0,0,0,0,0,0
24,"Dadra & Nagar Haveli",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Daman & Diu",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.25,104.615384615385,57.1194029850746,35.3229166666667,2.16216216216216,0,0,0,83.0681818181818
26,"Daman & Diu",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.875,87.2745098039216,0,0,0,0,0,0,0
27,"Daman & Diu",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Delhi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.016393442623,132.413202614379,168.067873303167,168.086021505376,169.301886792453,225.375510204082,219.590717299578,0,237.581300813008,268.4375,291.7375,262.406504065041,250.176
