"sno","state","category","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
1,"andaman-and-nicobar-islands",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"andaman-and-nicobar-islands",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"andaman-and-nicobar-islands",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Andhra Pradesh",1,0,0,0,11.15,12.05,9.86,9.1,8.25,14.8416666666667,9.98333333333333,8.1,15.7090909090909,10.6,7.8,11.1666666666667,16.0666666666667,0,36.8785488958991,27.4815972222222,30.284375,31.0981927710843,27.889405204461,22.7821073558648,14.061320754717,31.4336569579288,20.281990521327,18.411858974359,17.9192771084337,20.2141148325359
5,"Andhra Pradesh",2,0,0,0,17.478947368421,22.2166666666667,24.31,19.3916666666667,24.02,26.6434782608696,23.045,16.4583333333333,38.4545454545455,29.3416666666667,19.975,22.825,29.6291666666667,0,28.1600767754319,31.6817647058824,28.5257142857143,26.5357605177994,25.8686373467916,22.6433307632999,16.4025641025641,23.9934959349594,14.3299093655589,16.4642295597484,18.134974533107,22.0298913043478
6,"Andhra Pradesh",3,0,0,0,0,0,38.7375,0,17.8272727272727,40.3660714285714,43.790625,49.4645161290323,22.8170731707317,18.2847222222222,27.5055555555556,31.3666666666667,24.9072463768116,0,31.1,18.5269230769231,19.9859060402685,18.9205357142857,17.6474626865671,17.7017421602788,11.455737704918,13.5417721518987,13.7769784172662,12.2079439252336,15.1442006269592,13.8664495114007
7,"Arunachal Pradesh",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Arunachal Pradesh",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66666666666667,4.18333333333333
9,"Arunachal Pradesh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Assam",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Assam",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3101351351351,16.9240924092409,15.9111599297011,14.0616714697405,13.4113559322033,15.2396099024754,15.2325158946412,0,13.9661215783861,15.4369261843555,14.0219897209986,14.2066027689031
12,"Assam",3,0,0,0,0,20.3347826086957,37.16,35.4318181818182,25.8194444444444,18.88125,2.78148148148148,0,0,0,43,19.575,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Bihar",1,41.1454545454545,24.1130434782609,31.1727272727273,39.2882352941176,44.3620689655172,41.81,52.5913043478261,55.0130434782609,50.25,46.0172413793103,53.7527777777778,53.8870967741936,50.3285714285715,27.3657142857143,42.9485714285714,50.39,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Bihar",2,22.5571428571429,17.775,25.2642857142857,38.9558823529412,40.6413793103448,40.2666666666667,48.9545454545455,47.725,40.1785714285714,44.155,44.0685714285714,45.5096774193548,44.8735294117647,30.5527777777778,36.8558823529412,43.541935483871,0,24.929648241206,28.9850746268657,38.9824561403509,40.4513513513514,30.3187050359712,30.6701492537313,35.5971223021583,34.134328358209,32.7385892116183,0,0,0
15,"Bihar",3,0,0,0,0,17.9272727272727,29.6636363636364,16.675,25.675,16.4833333333333,18.29,16.0833333333333,12.6916666666667,10.7363636363636,11.775,10.9333333333333,10.4666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Chandigarh",1,0,0,28.94,10.3666666666667,4.22,0,35.2444444444444,30.3181818181818,33.65,20.5916666666667,5.06666666666667,9.25833333333333,1.23333333333333,0,0,8.575,0,37.0530973451327,19.9042857142857,16.6873333333333,20.8230263157895,19.6025974025974,17.6107382550336,19.4797297297297,19.4262068965517,15.9253846153846,20.0136054421769,25.5986394557823,30.9594594594595
17,"Chandigarh",2,0,0,25.08,11.8909090909091,6.3,0,31.1222222222222,16.0470588235294,28.2571428571429,16.2,4.44166666666667,8.23333333333333,0,0,0,7.525,0,25.9880952380952,13.8403169014085,10.4259856630824,13.2585284280937,13.242131147541,12.7962356792144,14.7591973244147,14.4141868512111,14.1119221411192,15.327150084317,20.1331058020478,24.0554621848739
18,"Chandigarh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Chhattisgarh",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2517006802721,31.5622516556291,29.5078125,33.3175675675676,31.5589928057554,32.4166666666667,32.8125,30.7717391304348,32.7272727272727,32.4233576642336,32.7433628318584
20,"Chhattisgarh",2,0,0,0,0,0,0,6.4,8.2,0,0,20.8714285714286,20.6555555555556,17.46,18.3333333333333,13.4916666666667,12.3,0,18.1410256410256,24.8260787992495,24.2464,22.6583208395802,24.4630508474577,23.4443877551021,22.4017543859649,21.2228073394495,19.6328293736501,16.7094017094017,19.2186046511628,20.1578947368421
21,"Chhattisgarh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Dadra & Nagar Haveli",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8875,17.2682692307692,17.3188405797102,17.6170212765957,19.3546391752577,20.1813333333333,0,0,26.906976744186
