"sno","state","category","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
1,"andaman-and-nicobar-islands",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"andaman-and-nicobar-islands",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"andaman-and-nicobar-islands",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Andhra Pradesh",1,0,0,0,11.9,13.5833333333333,15.54,8.08333333333333,9.58,11.4666666666667,13.2416666666667,9.04166666666667,6.93636363636364,8.36666666666667,7.46666666666667,10.1416666666667,9.05,0,6.78517350157729,5.26388888888889,7.11428571428572,6.55983935742972,5.86672862453532,7.04850894632207,5.18396226415094,4.66666666666667,7.27725118483412,7.80929487179487,9.9433734939759,7.70933014354067
5,"Andhra Pradesh",2,0,0,0,7.27368421052632,9.425,9.64,8.775,18.215,16.0304347826087,17.595,11.9291666666667,10.25,15.6083333333333,12.8458333333333,12.0125,10.2708333333333,0,7.33531669865643,5.98274509803921,8.35935483870968,6.50647249190937,7.10201874549387,7.43400154202005,5.47307692307692,4.73658536585366,7.64833836858006,6.81800314465409,7.26485568760611,6.48913043478261
6,"Andhra Pradesh",3,0,0,0,0,0,21.1652777777778,0,6.6,18.95,20.9625,24.5564516129032,13.380487804878,14.9791666666667,15.1083333333333,12.3202898550725,6.2768115942029,0,9.87142857142857,7.04615384615385,6.57348993288591,5.67380952380952,6.76029850746269,6.60801393728223,4.81967213114754,4.2126582278481,5.26858513189448,6.0981308411215,7.28526645768025,5.84039087947883
7,"Arunachal Pradesh",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Arunachal Pradesh",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46666666666667,2.81666666666667
9,"Arunachal Pradesh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Assam",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Assam",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18918918918919,5.27425742574257,6.00017574692448,7.16046109510077,6.31830508474582,6.80232558139536,7.05086285195277,0,6.08354070387471,6.94160852001469,6.79133627019089,6.99254526091587
12,"Assam",3,0,0,0,0,12.8,14.3311111111111,6.04772727272727,6.40277777777778,1.978125,0.874074074074074,0,0,0,7.20833333333333,3.70833333333333,3.14166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Bihar",1,30.0363636363636,33.4869565217391,25.4181818181818,31.8441176470588,37.6724137931034,34.96,33.5826086956522,38.7,36.8045454545455,45.3793103448276,41.6083333333333,60.6483870967742,65.9,29.94,24.3828571428571,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Bihar",2,15.6857142857143,21.3083333333333,19.9571428571429,41.1294117647059,39.8689655172414,33.5666666666667,28.4545454545455,36.0916666666667,34.0857142857143,35.735,36.1371428571429,45.0516129032258,53.2264705882353,29.1888888888889,27.2176470588235,28.9064516129032,0,11.5427135678392,12.2791044776119,9.8093567251462,9.32378378378379,5.2841726618705,3.23283582089552,5.83453237410072,4.05970149253731,4.81327800829875,0,0,0
15,"Bihar",3,0,0,0,0,12.3727272727273,19.9363636363636,11.2666666666667,12.0583333333333,10.6166666666667,9.44,12.925,10.2083333333333,8.74545454545455,9.46666666666667,9.53333333333333,8.36666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Chandigarh",1,0,0,12.25,13.375,5.67,0,15.7,12.3727272727273,12.2833333333333,8.08333333333333,6.975,5.73333333333333,0.541666666666667,0,0,7.65,0,7.21238938053097,1.46571428571429,0,0,0.0344155844155844,0,2,1.98827586206897,1.43076923076923,1.14285714285714,2,2
17,"Chandigarh",2,0,0,6.455,3.25909090909091,2.12307692307692,0,10.9222222222222,2.99411764705882,8.82857142857143,5.8,6.175,4.76666666666667,0,0,0,5.69166666666667,0,5.39880952380952,1.04700704225352,0.0564516129032258,0.0088628762541806,0,0.00949263502454992,2.00334448160535,1.9538062283737,1.49878345498783,1.15514333895447,1.98976109215017,2
18,"Chandigarh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Chhattisgarh",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2619047619048,18.328476821192,17.996875,20.5155405405405,18.8956834532374,12.5069444444444,12.375,11.2826086956522,12.0151515151515,11.985401459854,12.0530973451327
20,"Chhattisgarh",2,0,0,0,0,0,0,9.6,8.46,0,0,15.3714285714286,15.1111111111111,13.38,13.5416666666667,8.40833333333333,8.05454545454545,0,11.8989743589744,11.9872420262664,12.19744,12.3940029985007,13.8835593220339,12.8583333333333,10.8912280701754,10.4554128440183,10.1036717062635,8.23247863247863,9.39302325581395,9.1395881006865
21,"Chhattisgarh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Dadra & Nagar Haveli",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6375,9.78942307692308,8.58985507246376,7.13829787234043,7.59278350515464,7.61866666666667,0,0,15.8837209302326
