"sno","state","category","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
1,"andaman-and-nicobar-islands",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"andaman-and-nicobar-islands",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"andaman-and-nicobar-islands",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Andhra Pradesh",1,0,0,0,45.3,89.75,136.4,0,72.6,94.3333333333333,67.4166666666667,74,87.1818181818182,93,92.5,78.5833333333333,73.4166666666667,0,190.816088328076,234.28125,232.417410714286,231.010040160643,219.60780669145,226.592445328032,0,177.566343042071,0,0,0,0
5,"Andhra Pradesh",2,0,0,0,100.894736842105,177.625,204.7,0,160,165.086956521739,182.85,127.791666666667,156.409090909091,183.208333333333,179.625,160.208333333333,101.875,0,161.630518234165,218.464705882353,208.18801843318,203.220064724919,216.282624369142,223.67232074017,0,119.291986062718,0,0,0,0
6,"Andhra Pradesh",3,0,0,0,0,0,216.625,0,0,164,148.671875,217.225806451613,209.170731707317,219.694444444444,136.111111111111,147.898550724638,82.463768115942,0,116.857142857143,100.076923076923,134.855704697987,126.139880952381,136.277611940298,147.662020905923,0,130.215189873418,0,0,0,0
7,"Arunachal Pradesh",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Arunachal Pradesh",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Arunachal Pradesh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Assam",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Assam",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.214521452145,163.952548330404,136.157925072046,144.062711864407,175.378094523631,0,0,0,0,0,0
12,"Assam",3,0,0,0,0,37.3478260869565,55.1333333333333,40.2045454545455,105.305555555556,63.6875,117.814814814815,299,0,0,159.333333333333,172,168.833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Bihar",1,434.363636363636,406.086956521739,368.136363636364,296.264705882353,319.172413793103,336.7,0,332.695652173913,367.818181818182,358.206896551724,250.694444444444,280.161290322581,281.6,265.657142857143,282.285714285714,230.466666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Bihar",2,166.285714285714,277.75,251.285714285714,239.264705882353,317.206896551724,342.416666666667,0,283.666666666667,441.285714285714,429.05,292.971428571429,342.41935483871,324.264705882353,346.5,350.441176470588,325.064516129032,0,156.005025125628,266.970149253731,288.695906432749,294.864864864865,300.712230215827,263.835820895522,0,0,0,0,0,0
15,"Bihar",3,0,0,0,0,230.909090909091,118.909090909091,28.5833333333333,221.25,205.75,172.4,221.583333333333,189.333333333333,174.909090909091,152.75,189.083333333333,168.416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Chandigarh",1,0,0,203.8,251.333333333333,304.5,466,0,213.090909090909,279.5,212.416666666667,241.916666666667,325.75,278.416666666667,273.083333333333,297.5,351,0,272.079646017699,281.942857142857,289.66,290.197368421053,257.149350649351,182.436241610738,0,260.627586206897,0,0,0,0
17,"Chandigarh",2,0,0,175.2,210.863636363636,226.076923076923,352.25,0,145.705882352941,146.857142857143,138.5,209.75,231.25,172.25,177.583333333333,196.666666666667,241.75,0,162.839285714286,207.160211267606,201.964157706093,201.483277591973,183.159016393443,157.641571194763,0,174.671280276817,0,0,0,0
18,"Chandigarh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Chhattisgarh",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.265306122449,277.397350993377,273.723958333333,308.540540540541,306.31654676259,0,0,0,0,0,0
20,"Chhattisgarh",2,0,0,0,0,0,0,0,0,0,0,89.4285714285714,98.2222222222222,94.4,63.3333333333333,81.5833333333333,93.6363636363636,0,164.54358974359,211.350844277674,200.2656,192.914542728636,231.020338983051,242.603741496599,0,0,0,0,0,0
21,"Chhattisgarh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Dadra & Nagar Haveli",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.5,228.375,312.942028985507,0,42.3814432989691,0,0,0,0
23,"Dadra & Nagar Haveli",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.888888888889,153.769230769231,0,0,0,0,0,0,0
24,"Dadra & Nagar Haveli",3,0,0,0,0,0,83.5714285714286,96,100.583333333333,107.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Daman & Diu",1,0,0,93.875,85.9166666666667,86.0909090909091,101.333333333333,89.5,102,97.3333333333333,0,0,0,0,0,0,0,0,0,0,0,255.5,244.019230769231,222.641791044776,0,39.3513513513514,0,0,0,0
26,"Daman & Diu",2,0,0,87.5882352941177,100.583333333333,95.0454545454545,108.176470588235,99,123,0,0,0,0,0,0,0,0,0,0,0,0,178,178.225490196078,0,0,0,0,0,0,0
27,"Daman & Diu",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
